trial_path,variant,total_calls,total_GFLOPs,total_tokens,amplification
analysis/raw_logs\20251011_190804\P6_eda72631-d3f6-427e-b719-620cf54d687c.jsonl,P6,2,4212000.0,468,0.1686344389428886
analysis/raw_logs\20251011_214208\P0_13c7ccd5-8e39-4a16-a4c8-2ae8caeafec9.jsonl,P0,6,46701000.0,5189,1.8697523582791644
analysis/raw_logs\20251011_214208\P0_35163c82-2085-4ace-b985-984fee01b681.jsonl,P0,3,25668000.0,2852,1.027661153557945
analysis/raw_logs\20251011_214208\P0_35f58195-8814-462a-ae26-b5764ed5cf9b.jsonl,P0,5,40437000.0,4493,1.6189626798512786
analysis/raw_logs\20251011_214208\P0_60166b9a-346f-46ae-b1a9-2d5193da9adc.jsonl,P0,4,31212000.0,3468,1.2496244321665335
analysis/raw_logs\20251011_214208\P0_f7f1c8a5-be1a-41e3-98aa-966e9589674f.jsonl,P0,2,17091000.0,1899,0.6842666657105672
analysis/raw_logs\20251011_214208\P3_1ff3b372-4267-4fcf-8eeb-c901b3e222c0.jsonl,P3,4,39312000.0,4368,1.5739214301336268
analysis/raw_logs\20251011_214208\P3_293334d9-39a2-4cbf-8c9f-b7e06f2aa331.jsonl,P3,6,64422000.0,7158,2.5792421238316163
analysis/raw_logs\20251011_214208\P3_8b4efe2a-0cd0-438c-940d-e58c5cd03e42.jsonl,P3,4,40383000.0,4487,1.6168006998648314
analysis/raw_logs\20251011_214208\P3_923def28-228a-46e0-be5e-215e808423ff.jsonl,P3,3,27324000.0,3036,1.0939618731423286
analysis/raw_logs\20251011_214208\P3_f8cfbc26-8190-4eac-85aa-d2521e05d375.jsonl,P3,3,26730000.0,2970,1.0701800932914083
analysis/raw_logs\20251011_214208\P6_2b3df8f8-8b66-4ba2-a374-45d3d253fef9.jsonl,P6,7,38700000.0,4300,1.5494189902872242
analysis/raw_logs\20251011_214208\P6_7998109c-d972-4631-8291-9de0a685a578.jsonl,P6,5,38403000.0,4267,1.5375281003617642
analysis/raw_logs\20251011_214208\P6_8dfce3e6-e2f0-4033-9a3e-592f53a614c4.jsonl,P6,2,4212000.0,468,0.1686344389428886
analysis/raw_logs\20251011_214208\P6_e1bc860c-9ab9-47b1-a006-080c8f6b4521.jsonl,P6,5,23184000.0,2576,0.9282100741813697
analysis/raw_logs\20251011_214208\P6_fc438135-3dc3-4151-88e0-6ed466bdc37a.jsonl,P6,14,104328000.0,11592,4.176945333816164
analysis/raw_logs\20251012_114820\P0_663d5608-a5be-4cc0-bbb5-37f64925134b.jsonl,P0,4,32535000.0,3615,1.302592941834492
analysis/raw_logs\20251012_114820\P0_b0e0eeb8-9775-4b37-85f2-87f39ce018ff.jsonl,P0,8,62955000.0,6995,2.5205083341997985
analysis/raw_logs\20251012_114820\P0_d188b0b7-500c-4862-8056-f5344c83dcd0.jsonl,P0,3,24975000.0,2775,0.9999157437318714
analysis/raw_logs\20251012_114820\P0_e4887e3e-ad43-488f-b2cb-2adb00062f5d.jsonl,P0,15,117900000.0,13100,4.720322970409915
analysis/raw_logs\20251012_114820\P0_e718511b-d583-44db-b0d7-cb2296877cb7.jsonl,P0,4,33129000.0,3681,1.3263747216854123
analysis/raw_logs\20251012_114820\P3_6e668c0f-60ee-4fbc-bc28-6b536bea2552.jsonl,P3,4,42021000.0,4669,1.6823807594537326
analysis/raw_logs\20251012_114820\P3_b2bfdf80-59ab-433a-8212-af740e5faedc.jsonl,P3,12,133092000.0,14788,5.328560006597087
analysis/raw_logs\20251012_115627\P0_0a303d0c-28c8-4064-9f70-c1e6e7f86056.jsonl,P0,2,17514000.0,1946,0.7012021756044042
analysis/raw_logs\20251012_115627\P0_b7ae9753-4e09-465a-8dd0-afcbfcd4a790.jsonl,P0,5,40860000.0,4540,1.635898189745116
analysis/raw_logs\20251012_115859\P0_0c605382-10ec-45e6-ab15-47c3d9cfb96b.jsonl,P0,3,24381000.0,2709,0.9761339638809513
analysis/raw_logs\20251012_115859\P0_50094f7b-8d54-478f-8cb2-547eeebcfc1c.jsonl,P0,1,8973000.0,997,0.3592490077479913
analysis/raw_logs\20251012_115859\P0_e59f7f76-68d5-43a8-853f-3842718e029e.jsonl,P0,4,30618000.0,3402,1.2258426523156132
analysis/raw_logs\20251012_173256\P0_2e55abe1-6634-4f2e-ac0d-cefcdc1076fa.jsonl,P0,3,24381000.0,2709,0.9761339638809513
analysis/raw_logs\20251012_173256\P0_7de16037-bcc4-47d7-989a-748e77b55597.jsonl,P0,9,73143000.0,8127,2.928401891642854
analysis/raw_logs\20251012_173256\P0_9cc1721e-76f6-45f0-b7d8-e962d3477d78.jsonl,P0,6,45783000.0,5087,1.8329986985095603
analysis/raw_logs\20251012_173256\P0_b9777383-ea0c-47eb-a995-83fb53dc731d.jsonl,P0,5,38943000.0,4327,1.559147900226237
analysis/raw_logs\20251012_173256\P0_f138b66b-96ae-48b1-89b6-a5883b8db971.jsonl,P0,6,45630000.0,5070,1.8268730885479598
analysis/raw_logs\20251012_173256\P3_138fdbe2-185a-424b-8878-6817c8481b06.jsonl,P3,11,122841000.0,13649,4.918144139169843
analysis/raw_logs\20251012_173256\P3_165f4886-65a8-4093-838a-3111af2a71ea.jsonl,P3,1,891000.0,99,0.03567266977638028
analysis/raw_logs\20251012_173256\P3_37fbfce5-9c6c-4b79-94b6-89648629e46f.jsonl,P3,40,476037000.0,52893,19.05893457052608
analysis/raw_logs\20251012_173256\P3_ada164ff-799e-4dd7-87a0-cae2c3a577b3.jsonl,P3,2,13374000.0,1486,0.5354503766434454
analysis/raw_logs\20251012_173256\P3_fea4f73f-0e66-41df-ad93-0300bb7f5879.jsonl,P3,2,13374000.0,1486,0.5354503766434454
analysis/raw_logs\20251012_173256\P6_28432220-6ad3-4198-ae6f-16becde94ff2.jsonl,P6,12,80874000.0,8986,3.2379253597025572
analysis/raw_logs\20251014_200252\P0_28b07564-821d-4ad4-b770-3f99a574a101.jsonl,P0,4,32535000.0,3615,1.302592941834492
analysis/raw_logs\20251014_200252\P0_5546f659-59b2-4977-86b6-9e64ffa66606.jsonl,P0,3,25398000.0,2822,1.0168512536257086
analysis/raw_logs\20251014_200252\P0_c14477e2-2e12-48a1-a560-e11830c7985e.jsonl,P0,4,33822000.0,3758,1.3541201315114857
analysis/raw_logs\20251014_200252\P0_f2a9795a-0a25-4e10-bc35-3202aff9ff72.jsonl,P0,1,8550000.0,950,0.3423134978541542
analysis/raw_logs\20251014_200252\P0_fea0d286-e19f-4d41-b4a4-ebc1458b0f95.jsonl,P0,6,46647000.0,5183,1.867590378292717
analysis/raw_logs\20251014_200252\P3_51e6ca97-02ae-4e44-bbb3-173a9ec0e102.jsonl,P3,7,75069000.0,8341,3.005512511159474
analysis/raw_logs\20251014_200252\P3_526ca9b6-34a1-4789-a18a-6c68a23becd0.jsonl,P3,29,339273000.0,37697,13.58335992485058
analysis/raw_logs\20251014_200252\P3_7075654b-1ec8-4650-9bc9-1fc495a67c49.jsonl,P3,1,1962000.0,218,0.07855193950758485
analysis/raw_logs\20251014_200252\P3_da109032-b78a-4846-b8da-376dc3a1b3a5.jsonl,P3,1,1962000.0,218,0.07855193950758485
analysis/raw_logs\20251014_200252\P3_e905b086-82a0-43df-b41e-b8891c62d812.jsonl,P3,3,27324000.0,3036,1.0939618731423286
analysis/raw_logs\20251014_200252\P6_14de4a89-9890-4f0c-890a-9b905f20a567.jsonl,P6,8,69498000.0,7722,2.7824682425576617
analysis/raw_logs\20251014_200252\P6_4c3903f5-bfd7-4d49-a070-17e5310d40b7.jsonl,P6,12,78966000.0,8774,3.1615354001814198
analysis/raw_logs\20251014_200252\P6_5599992e-fd84-44a7-bf23-036c02950aa0.jsonl,P6,4,11223000.0,1247,0.449331507183295
analysis/raw_logs\20251014_200252\P6_5bb46332-c04d-471c-b661-df9cb66ebc7b.jsonl,P6,11,54342000.0,6038,2.175672526361456
analysis/raw_logs\20251014_200252\P6_6a37ca66-541e-4609-ace7-65c0857f31ef.jsonl,P6,5,30618000.0,3402,1.2258426523156132
analysis/raw_logs\20251015_173833\P0_8075bedf-4f4b-4087-8667-93a20f20711b.jsonl,P0,2,16227000.0,1803,0.6496749859274106
analysis/raw_logs\20251015_173833\P0_d60a8e73-e55e-462a-b8ff-9ade3ca44bd9.jsonl,P0,4,31212000.0,3468,1.2496244321665335
analysis/raw_logs\20251015_173833\P0_d7eb1770-27b4-4f24-9432-0263e3303673.jsonl,P0,1,8550000.0,950,0.3423134978541542
analysis/raw_logs\20251029_144001_moved\P0_018db42b-a3a5-485d-bdfc-bc5eab6df585.jsonl,P0,1,348000.0,58,0.013932759912660311
analysis/raw_logs\20251029_144001_moved\P0_126a640c-2911-4bcd-9f0e-f4421e118b59.jsonl,P0,1,288000.0,32,0.011530559927718878
analysis/raw_logs\20251029_144001_moved\P0_1415202f-3090-487d-bf12-8de8375113f4.jsonl,P0,1,222000.0,37,0.008888139944283302
analysis/raw_logs\20251029_144001_moved\P0_19256fb3-089c-465a-9df4-1954063f81dc.jsonl,P0,1,222000.0,37,0.008888139944283302
analysis/raw_logs\20251029_144001_moved\P0_1e10d92f-3199-4e10-8c79-54c65f36b3dc.jsonl,P0,1,348000.0,58,0.013932759912660311
analysis/raw_logs\20251029_144001_moved\P0_30d1b58f-4601-46e5-a9d2-6a209dd638db.jsonl,P0,1,288000.0,32,0.011530559927718878
